"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"CAS24737",1889,3,39.49404,-87.26723,"female",0.897604,138.567,11.5413,1043,61.1793,56.5982,71,0.210602506573181,0.0936922436459247,0.0957541513292433,0.0927422611744084,123,-0.0566621207187053,-0.0566621207187061,0.61576178761337
"CAS80098",1906,3,38.95495,-95.25986,"female",0.823179,146.54,12.8492,966,66.0672,60.4158,65,0.257446862401402,0.0870603827052293,0.0918330850131464,0.102083082091732,106,0.130135724964792,0.130135724964792,0.473252628575093
"CAS71491",1968,4,38.71306,-85.45846,"female",0.90719,137.166,12.2811,1139,64.4272,58.5337,71,0.263532801635992,0.0874581215308209,0.0984002862985684,0.0841517820625182,44,-0.0380726158706629,-0.0380726158706636,0.637527429062871
"MVZ36560",1889,3,29.6409,-81.6569,"female",0.934264,159.009,20.841,1312,91.4377,86.5422,74,0.216622433537832,0.0857655273152205,0.0816990476190477,0.0765226526438796,123,0.447657749489646,0.447657749489647,1.13213919534967
"MVZ41604",1912,3,25.915,-97.488,"female",0.5823,160.14,23.2081,684,106.788,51.4235,74,0.29240461291265,0.124774522348817,0.0898900175284837,0.100937922874671,100,0.649439365883485,0.649439365883485,0.337412750310779
"MVZ53902",1929,3,32.2217,-110.9258,"female",0.268675,186.387,20.4936,301,97.2417,25.2775,39,0.297809591002045,0.192936146654981,0.095690330119778,0.124733461875548,83,1.06775008663905,1.06775008663905,-0.8548174778037
"MVZ53903",1929,3,32.2217,-110.9258,"female",0.268675,186.387,20.4936,301,97.2417,25.2775,39,0.273260511247444,0.235418238387379,0.106879547180836,0.148337779725387,83,1.06775008663905,1.06775008663905,-0.8548174778037
"MVZ55647",1929,3,24.877778,-110.5916667,"female",0.23929,186.439,22.6159,183,98.1502,19.7112,64,0.302230896874087,0.19371854805726,0.122152185217645,0.130735784399649,83,0.925424071923792,0.925424071923791,-0.552043724683215
"MVZ86678",1942,3,42.2862,-83.7268,"female",0.863361,130.612,8.87048,808,55.6928,49.9698,70,0.157260362255332,0.0821766199240432,0.0772469062226118,0.0635484750219106,70,-0.230460960760288,-0.23046096076029,0.281155304576723
"MVZ105090",1931,3,40.7675,-96.5613,"female",0.662979,144.091,10.5906,780,61.3378,53.315,69,0.261106833187262,0.150616140812153,0.0984890534618754,0.0941096435874963,81,0.0405670435041332,0.0405670435041321,-0.0106041622351582
"MVZ105107",1933,3,32.9634798,-108.61215,"female",0.321302,179.679,13.7308,352,69.0892,26.7175,42,0.219207645340345,0.212343420975752,0.106541007887818,0.136787186678352,79,0.714910524592217,0.714910524592215,-0.93713588387753
