year,female_id,offspring_year_fem,age_fem,inbreed_coef,first_nest,last_nest,breed_dur,terr_qual,dens_fem,dens_pop
1986,135102026,0,1,0.005859375,111,159,48,0.000925,61,155
2008,226189119,0,1,0.115825897,119,161,42,0.001611,33,114
2008,224130897,0,1,0.138352355,96,149,53,0.004096,33,114
1979,120143089,1,1,0,129,129,0,0.004541,65,128
1986,135102020,2,1,0.009765625,115,164,49,0.004953,61,155
1984,125158829,4,1,0.03125,118,172,54,0.005151,53,231
1985,125159104,0,1,0,128,173,45,0.005204,71,214
1983,125158740,0,1,0,112,112,0,0.005282,54,204
1979,120143014,0,1,0,128,128,0,0.005612,65,128
1978,120130602,0,1,0,111,111,0,0.005698,48,209
1979,120143092,1,1,0.125,125,125,0,0.006075,65,128
1994,150159282,3,1,0.035644531,104,148,44,0.006143,52,181
1977,117174335,0,1,0,110,119,9,0.006668,45,189
1979,120130781,3,1,0,111,142,31,0.006682,65,128
1978,120130627,1,1,0,138,138,0,0.006776,48,209
1983,125160298,3,1,0,93,127,34,0.006894,54,204
1996,145162066,1,1,0.056539536,105,147,42,0.00727,46,155
1987,135102396,5,1,0,107,149,42,0.008019,58,187
1986,125159417,0,1,0,132,144,12,0.008577,61,155
1996,145162097,4,1,0.023330688,129,163,34,0.008752,46,155
1983,125158732,0,1,0,100,100,0,0.008815,54,204
1983,125158777,3,1,0,101,145,44,0.009145,54,204
1994,150159241,2,1,0.122451782,124,124,0,0.009164,52,181
1992,145120601,0,1,0.051055908,88,126,38,0.00946,41,178
1979,120143037,1,1,0,115,169,54,0.00951,65,128
1997,145162215,4,1,0.035644531,113,150,37,0.009597,41,197
1983,125160275,2,1,0,102,146,44,0.00986,54,204
1987,135102328,1,1,0.125,105,143,38,0.010095,58,187
1997,145162192,4,1,0.073711395,111,145,34,0.010265,41,197
1994,146164009,3,1,0.095787048,119,119,0,0.010275,52,181
1993,143173564,1,1,0.255981445,125,158,33,0.010527,42,163
1983,125158703,0,1,0.03125,92,154,62,0.010626,54,204
1979,120143217,0,1,0,121,121,0,0.010714,65,128
2008,226189013,1,1,0.08497406,105,158,53,0.011003,33,114
1978,120130646,4,1,0,98,136,38,0.011299,48,209
1994,146164005,0,1,0.10144043,127,166,39,0.011549,52,181
1978,120130535,2,1,0,122,149,27,0.011613,48,209
1984,125159214,0,1,0,127,151,24,0.011672,53,231
1983,125158773,0,1,0,110,110,0,0.011835,54,204
1979,120130743,3,1,0,122,122,0,0.011987,65,128
2006,196199301,2,1,0.112075567,110,146,36,0.012199,34,89
1979,120130765,1,1,0,106,136,30,0.012224,65,128
1979,120130752,0,1,0.125,113,113,0,0.01266,65,128
1998,145162440,1,1,0.066093445,100,163,63,0.012812,31,130
1997,145162324,4,1,0.038612366,105,136,31,0.013262,41,197
1986,125159442,2,1,0.017578125,114,122,8,0.013267,61,155
1993,143173552,0,1,0.152160645,117,117,0,0.013271,42,163
1977,109137466,1,1,0,109,120,11,0.013395,45,189
1984,125159323,1,1,0.0078125,145,145,0,0.01349,53,231
1984,125159347,3,1,0.03125,91,153,62,0.013505,53,231
1983,125158753,1,1,0.03125,102,161,59,0.013594,54,204
1995,146164116,4,1,0.022727966,118,161,43,0.013692,41,217
1994,150159209,2,1,0.082824707,114,149,35,0.013741,52,181
2000,146130758,3,1,0.080261946,94,169,75,0.013851,15,69
1996,146164289,3,1,0.112068176,111,151,40,0.014036,46,155
1983,125158711,2,1,0,100,144,44,0.014154,54,204
1979,120130759,1,1,0,112,146,34,0.014219,65,128
1986,135102009,0,1,0.0234375,131,172,41,0.014324,61,155
1988,135102160,2,1,0,113,167,54,0.014424,53,157
1985,125159125,1,1,0,106,157,51,0.014754,71,214
2005,176124492,4,1,0.034595609,101,110,9,0.014883,27,151
1995,146164138,1,1,0.035945892,110,155,45,0.015093,41,217
1997,145162287,6,1,0.023330688,106,179,73,0.015156,41,197
1996,145162044,2,1,0.071891785,131,168,37,0.015405,46,155
1985,125158995,1,1,0,111,152,41,0.015525,71,214
1983,125158708,3,1,0.25,112,149,37,0.015664,54,204
1983,125158752,1,1,0.03125,94,138,44,0.015816,54,204
1994,143173366,2,1,0,108,108,0,0.015822,52,181
1994,143173398,3,1,0.036407471,106,165,59,0.01611,52,181
1994,150159278,1,1,0.040802002,118,156,38,0.016369,52,181
1994,150159255,3,1,0.074737549,108,133,25,0.016664,52,181
1997,145162278,5,1,0.03352356,115,155,40,0.016673,41,197
1983,125158749,0,1,0,88,88,0,0.017012,54,204
1983,125158781,0,1,0,95,95,0,0.017102,54,204
1998,145162470,2,1,0.081548691,121,159,38,0.017103,31,130
1996,145162134,1,1,0.046367645,105,169,64,0.017225,46,155
1976,114110952,2,1,0,114,166,52,0.017277,31,174
1998,146130328,0,1,0.07308197,113,145,32,0.017374,31,130
2002,172168055,6,1,0.08192873,110,154,44,0.017425,26,102
1996,146164276,1,1,0.020401001,109,151,42,0.017489,46,155
1995,146164110,6,1,0.020401001,104,142,38,0.017542,41,217
1978,120130554,2,1,0,107,151,44,0.017656,48,209
2002,172168069,3,1,0.053376436,114,163,49,0.017744,26,102
2002,172168093,5,1,0.041925907,111,151,40,0.017792,26,102
1979,120130778,1,1,0,123,128,5,0.017824,65,128
1996,146164256,1,1,0.08644104,141,141,0,0.018123,46,155
2005,176124493,0,1,0.034595609,102,102,0,0.018345,27,151
1979,120143029,0,1,0,116,146,30,0.018663,65,128
1983,125158741,0,1,0,84,84,0,0.018928,54,204
1979,120143062,0,1,0,114,147,33,0.01909,65,128
1998,146130354,0,1,0.06155014,103,103,0,0.019193,31,130
1996,145162112,3,1,0.030487061,148,148,0,0.019413,46,155
2008,226189077,2,1,0.072280126,118,160,42,0.020532,33,114
1994,146164040,2,1,0.124938965,114,156,42,0.020681,52,181
2004,176124253,5,1,0.024652719,94,135,41,0.020824,16,86
2002,172168065,3,1,0.10655117,108,149,41,0.022391,26,102
1994,146164018,0,1,0.054876328,135,158,23,0.02263,52,181
1979,120143058,4,1,0,112,145,33,0.022988,65,128
1993,143173534,5,1,0.076660156,116,155,39,0.023173,42,163
1995,146164229,3,1,0.162361145,113,147,34,0.024131,41,217
1983,125158704,1,1,0.03125,91,123,32,0.025562,54,204
1992,150154676,4,1,0.016113281,83,124,41,0.025604,41,178
1982,125160193,4,1,0,97,132,35,0.025951,26,130
1985,125159283,2,1,0,122,164,42,0.026252,71,214
1998,146130309,5,1,0.108487606,95,140,45,0.026278,31,130
2009,226189162,2,1,0.031371352,121,121,0,0.026616,22,83
1993,145120483,3,1,0.104972839,127,166,39,0.026936,42,163
2002,176124113,5,1,0,107,143,36,0.02797,26,102
2008,226189053,2,1,0.096781882,106,144,38,0.028125,33,114
1979,120143212,1,1,0,110,145,35,0.028273,65,128
2003,176124169,4,1,0.053376436,107,164,57,0.028805,27,105
1983,125158736,4,1,0,91,157,66,0.028836,54,204
1984,125159374,3,1,0,96,154,58,0.029047,53,231
2001,172168009,5,1,0.074003696,116,157,41,0.029134,11,71
2008,226189080,1,1,0.072280126,116,150,34,0.029143,33,114
2006,176124879,3,1,0.034595609,110,154,44,0.029411,34,89
1988,135102142,0,1,0,132,145,13,0.029996,53,157
2003,172168354,2,1,0.037360072,132,132,0,0.030851,27,105
1978,120130665,6,1,0,102,165,63,0.031438,48,209
1978,120130628,4,1,0,111,156,45,0.032134,48,209
1978,120130615,1,1,0,107,177,70,0.032411,48,209
1992,150154657,3,1,0.03125,81,129,48,0.033442,41,178
2005,176124639,6,1,0.031938463,95,127,32,0.033775,27,151
1983,125160282,6,1,0,95,167,72,0.033906,54,204
2005,176124496,5,1,0.045740783,101,136,35,0.034079,27,151
2000,146130782,3,1,0.074003696,113,139,26,0.034521,15,69
2006,172168199,2,1,0.077487785,127,139,12,0.035098,34,89
1982,125160247,4,1,0,123,123,0,0.035222,26,130
1992,142169688,3,1,0.016113281,100,147,47,0.036065,41,178
2003,176124172,6,1,0.053376436,102,168,66,0.036177,27,105
2005,176124573,8,1,0.039674878,93,173,80,0.036363,27,151
2003,176124153,4,1,0.064258285,108,148,40,0.036462,27,105
2003,176124084,6,1,0.053143501,101,170,69,0.03661,27,105
1987,135102236,1,1,0,105,157,52,0.036785,58,187
2005,176124498,3,1,0.034362599,81,148,67,0.036862,27,151
2008,226189056,1,1,0.050662068,120,140,20,0.037123,33,114
1991,150147110,8,1,0,109,172,63,0.038397,28,100
1992,142169631,6,1,0.211364746,79,122,43,0.038462,41,178
1991,150156901,1,1,0.14855957,101,150,49,0.039003,28,100
1993,145120468,2,1,0.276550293,108,152,44,0.039525,42,163
2006,176124860,3,1,0.148712844,107,164,57,0.041073,34,89
2003,176124137,2,1,0.080379188,118,169,51,0.041768,27,105
1991,150147116,2,1,0,96,139,43,0.042916,28,100
2009,226189160,6,1,0.072280126,122,160,38,0.044144,22,83
2003,172168301,3,1,0.041925907,107,132,25,0.044353,27,105
2008,226189042,2,1,0.104244271,109,149,40,0.044537,33,114
2008,224130894,1,1,0.064181591,102,150,48,0.045988,33,114
2006,176124833,2,1,0.023815662,117,149,32,0.04721,34,89
1999,146130701,0,1,0.074325562,130,130,0,0.048819,14,60
2008,226189091,4,1,0.066611769,103,142,39,0.049613,33,114
1992,142169655,6,1,0.034179688,91,126,35,0.054514,41,178
2007,224130470,7,1,0.138352355,107,148,41,0.068347,20,93
1991,150154637,1,1,0,102,102,0,0.070843,28,100
1977,117174307,3,1,0,94,153,59,0.001924,45,189
1983,125158717,3,1,0,103,103,0,0.00567,54,204
1984,125159363,0,1,0,119,164,45,0.005927,53,231
1986,125159428,0,1,0,152,152,0,0.006528,61,155
1985,125159199,1,1,0,120,140,20,0.006617,71,214
1992,142169699,2,1,0.022460938,97,130,33,0.006696,41,178
1985,125158954,1,1,0,119,138,19,0.006832,71,214
1983,125158709,4,1,0,97,145,48,0.0072,54,204
1982,125160209,4,1,0,108,139,31,0.00753,26,130
1985,125158988,1,1,0,117,137,20,0.007667,71,214
1984,125158835,0,1,0.25,133,133,0,0.007703,53,231
1985,125159133,0,1,0,131,131,0,0.008033,71,214
1983,125160268,2,1,0,92,140,48,0.008406,54,204
1994,146164032,1,1,0.074737549,122,175,53,0.008777,52,181
1977,117174342,5,1,0,93,140,47,0.008841,45,189
1984,125159326,4,1,0,93,177,84,0.009287,53,231
1992,142169677,5,1,0.006469727,95,136,41,0.009296,41,178
1977,109137460,3,1,0,100,144,44,0.009328,45,189
1991,150156940,0,1,0,101,170,69,0.009343,28,100
1994,146164001,2,1,0.051055908,129,150,21,0.009395,52,181
2007,224130466,4,1,0.104745446,101,143,42,0.009498,20,93
1986,135102034,0,1,0,131,131,0,0.009614,61,155
1983,125158775,3,1,0,99,140,41,0.009725,54,204
1983,125160300,6,1,0,95,132,37,0.00982,54,204
1983,125158725,3,1,0,102,146,44,0.010246,54,204
1983,125160290,1,1,0,104,155,51,0.010271,54,204
1997,145162272,0,1,0.105121613,116,163,47,0.010525,41,197
1983,125160281,2,1,0,88,133,45,0.0106,54,204
1985,125159105,2,1,0,119,151,32,0.010931,71,214
1983,125158747,2,1,0,97,148,51,0.010992,54,204
1982,125160184,1,1,0,111,163,52,0.011213,26,130
1994,150159249,3,1,0.048492432,110,154,44,0.011396,52,181
1993,145120406,0,1,0.139297485,126,126,0,0.011456,42,163
1994,150159291,2,1,0.106719971,122,122,0,0.011555,52,181
1996,145162121,1,1,0.075439453,119,125,6,0.011944,46,155
1997,145162356,2,1,0.094688416,121,156,35,0.012051,41,197
1992,142169644,6,1,0,88,154,66,0.012204,41,178
1983,125160291,3,1,0,87,156,69,0.012319,54,204
1985,125159241,0,1,0.0078125,115,155,40,0.012518,71,214
1985,125159239,2,1,0,121,121,0,0.01258,71,214
1995,146164129,4,1,0.040802002,104,135,31,0.01261,41,217
1986,125159486,0,1,0.25,130,175,45,0.012709,61,155
1982,125160206,6,1,0,105,143,38,0.012731,26,130
1994,150159217,2,1,0.021484375,116,116,0,0.012769,52,181
1985,125159114,0,1,0.001464844,123,163,40,0.01277,71,214
1991,150156939,4,1,0,135,165,30,0.01311,28,100
1991,150156905,2,1,0,99,177,78,0.013151,28,100
1984,125158828,1,1,0.03125,113,155,42,0.013156,53,231
1978,120130595,3,1,0,103,145,42,0.013213,48,209
1986,125159476,0,1,0,115,154,39,0.013319,61,155
1984,125159355,4,1,0,92,165,73,0.013365,53,231
1984,125159398,4,1,0.0078125,110,143,33,0.013436,53,231
