"","site","stream","month","day","year","latitude","longitude","huc4","wet_dry","wet_wetdry_dry","prosper_ma","fish_sampled_length_m","fish_presence","richness","evenness","abundance","abundance_per_m","bg_rel_abund","blbh_rel_abund","brmn_rel_abund","brsb_rel_abund","carp_rel_abund","ccat_rel_abund","cmsh_rel_abund","crch_rel_abund","fhch_rel_abund","fhmn_rel_abund","ge_rel_abund","gsh_rel_abund","gsun_rel_abund","iowa_rel_abund","jdt_rel_abund","lkch_rel_abund","ll_rel_abund","lmb_rel_abund","lndc_rel_abund","lnsu_rel_abund","np_rel_abund","odt_rel_abund","pkf_rel_abund","plsu_rel_abund","ptmn_rel_abund","pump_rel_abund","rcsu_rel_abund","rdsh_rel_abund","rkb_rel_abund","scat_rel_abund","sdsh_rel_abund","shrh_rel_abund","smb_rel_abund","smbuf_rel_abund","str_rel_abund","we_rel_abund","wsmn_rel_abund","wsplmn_rel_abund","wsu_rel_abund","ylbh_rel_abund","yp_rel_abund","comid","habitat_sampled_length_m","mean_depth_m","max_depth_m","mean_width_m","depth_x_width_m2","discharge_m3_s","mean_velocity_m_s","percent_pool","percent_riffle","percent_run","wetted_area_m2","wetted_area_per100m","temp_c","conductivity","specific_cond","percent_do","do_mg_L","turbidity_cm","dom_substrate","MJJA_HIST","BFICat","ICI_v2_1","wet_dry_01"
"1","12","Antelope Creek",7,20,2022,43.48132,-105.2058,"1012","Wet","Wet",0.715406069,100,1,2,0.22036715,20,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5401819",100,NA,NA,NA,NA,NA,NA,0,0,100,749.346,749.346,30.2,NA,1322,162.9,NA,95,NA,82.7324295,37.438,0.849332048426787,1
"2","33","Arch Creek",8,3,2022,44.31392,-104.67812,"1012","Dry","WetDry",0.571018187,100,1,5,0.25755274,31,0.31,NA,0.258064516,NA,NA,NA,NA,NA,NA,NA,0.225806452,NA,NA,0.35483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096774194,NA,NA,"10904759",100,0.08333333,0.8,0.73,0.06083333,NA,NA,92.0769998,0,7.9230002,182.494,182.494,17.3,NA,1379,47.3,4.5,20,NA,6.75172997,82,0.855570816481903,0
"3","75","Bitter Creek",8,8,2022,45.031,-105.882,"1009","Dry","Dry",0.625109087,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5387311",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9.67660141,49.5886,0.827251448868994,0
"4","17","Box Creek",7,20,2022,43.101,-105.262,"1012","Dry","Dry",0.613042422,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5596048",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.98849344,39.9714,0.849017518282876,0
"5","74","Boxelder Creek",8,1,2022,45.49322,-104.45287,"1011","Wet","Wet",0.695981826,100,1,7,0.08900148,981,9.81,NA,0.007135576,NA,NA,0.002038736,NA,NA,NA,NA,0.713557594,NA,NA,0.002038736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009174312,NA,NA,NA,NA,NA,NA,0.086646279,0.179408767,NA,NA,"9782535",100,0.31533333,0.84,4.1283333,1.30180111,0.000748,0.000666667,0,0,100,400.048,400.048,22.3,NA,6611,98.5,8.34,35.5,NA,45.35750198,37,0.407679750309902,1
"6","15","Caballo Creek",8,4,2022,44.085,-105.28,"1012","Dry","Dry",0.722636362,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10902851",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28.8509388,50,0.844710598084377,0
"7","37","Cabin Creek",7,13,2022,44.49802,-104.79692,"1012","Wet","Wet",0.583484847,100,1,6,0.09285766,461,4.61,NA,0.162689805,NA,NA,NA,NA,NA,NA,NA,0.1670282,NA,NA,0.600867679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010845987,0.002169197,NA,NA,NA,NA,NA,NA,0.056399132,NA,NA,"10904203",100,NA,NA,NA,NA,0.011151,0.004,NA,NA,NA,NA,NA,23.6,NA,2410,70.4,NA,93,NA,4.59467268,70,0.792813365461586,1
"8","62","Crazy Woman Creek",7,27,2022,44.47807,-106.2279,"1009","Wet","Wet",0.783315146,100,1,8,0.24973248,35,0.35,NA,NA,NA,NA,0.057142857,0.142857143,NA,NA,0.285714286,NA,0.028571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085714286,NA,NA,NA,NA,0.114285714,0.2,NA,NA,NA,NA,NA,0.085714286,NA,NA,"5372121",100,NA,NA,NA,NA,0.072128,0.032666667,13.0015183,18.3407548,68.6577269,706.056,706.056,23,NA,1992,84.4,NA,24.5,NA,95.35053253,49,0.828089489693268,1
"9","60","Donkey Creek",7,8,2022,44.587,-106.529,"1009","Dry","Dry",0.398072726,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5377866",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.53741449,58.1963,0.841510998081125,0
"10","38","Dugout Creek",7,21,2022,43.47638,-106.4127,"1009","Dry","WetDry",0.490848484,100,1,8,0.10449023,387,3.87,NA,NA,NA,NA,NA,NA,NA,0.002583979,0.015503876,0.046511628,NA,NA,NA,NA,NA,NA,NA,NA,0.010335917,NA,NA,NA,0.095607235,NA,NA,NA,NA,NA,NA,NA,0.031007752,NA,NA,NA,NA,NA,NA,0.795865633,0.002583979,NA,NA,"5366443",100,NA,NA,NA,NA,NA,NA,91.0980041,0,8.9019959,146.147,146.147,20.5,NA,8924,91.2,NA,13,NA,3.47630501,65,0.599203089653117,0
