"","site","stream","month","day","year","latitude","longitude","huc4","fish_sampled_length_m","prosper_ma","MJJA_HIST","BFICat","ICI_v2_1","wet_dry","wet_dry_01","wet_wetdry_dry","fish_presence","richness","evenness","abundance","abundance_per_m","bg_rel_abund","blbh_rel_abund","brmn_rel_abund","brsb_rel_abund","carp_rel_abund","ccat_rel_abund","cmsh_rel_abund","crch_rel_abund","fhch_rel_abund","fhmn_rel_abund","ge_rel_abund","gsh_rel_abund","gsun_rel_abund","iowa_rel_abund","jdt_rel_abund","lkch_rel_abund","ll_rel_abund","lmb_rel_abund","lndc_rel_abund","lnsu_rel_abund","np_rel_abund","odt_rel_abund","pkf_rel_abund","plsu_rel_abund","ptmn_rel_abund","pump_rel_abund","rcsu_rel_abund","rdsh_rel_abund","rkb_rel_abund","scat_rel_abund","sdsh_rel_abund","shrh_rel_abund","smb_rel_abund","smbuf_rel_abund","str_rel_abund","we_rel_abund","wsmn_rel_abund","wsplmn_rel_abund","wsu_rel_abund","ylbh_rel_abund","yp_rel_abund"
"1","12","Antelope Creek",7,20,2022,43.48132,-105.2058,"1012",100,0.715406069,82.7324295,37.438,0.849332048426787,"Wet",1,"Wet",1,2,0.22036715,20,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","33","Arch Creek",8,3,2022,44.31392,-104.67812,"1012",100,0.571018187,6.75172997,82,0.855570816481903,"Dry",0,"WetDry",1,5,0.25755274,31,0.31,NA,0.258064516,NA,NA,NA,NA,NA,NA,NA,0.225806452,NA,NA,0.35483871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096774194,NA,NA
"3","75","Bitter Creek",8,8,2022,45.031,-105.882,"1009",100,0.625109087,9.67660141,49.5886,0.827251448868994,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","17","Box Creek",7,20,2022,43.101,-105.262,"1012",100,0.613042422,4.98849344,39.9714,0.849017518282876,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","74","Boxelder Creek",8,1,2022,45.49322,-104.45287,"1011",100,0.695981826,45.35750198,37,0.407679750309902,"Wet",1,"Wet",1,7,0.08900148,981,9.81,NA,0.007135576,NA,NA,0.002038736,NA,NA,NA,NA,0.713557594,NA,NA,0.002038736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009174312,NA,NA,NA,NA,NA,NA,0.086646279,0.179408767,NA,NA
"6","15","Caballo Creek",8,4,2022,44.085,-105.28,"1012",100,0.722636362,28.8509388,50,0.844710598084377,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","37","Cabin Creek",7,13,2022,44.49802,-104.79692,"1012",100,0.583484847,4.59467268,70,0.792813365461586,"Wet",1,"Wet",1,6,0.09285766,461,4.61,NA,0.162689805,NA,NA,NA,NA,NA,NA,NA,0.1670282,NA,NA,0.600867679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010845987,0.002169197,NA,NA,NA,NA,NA,NA,0.056399132,NA,NA
"8","62","Crazy Woman Creek",7,27,2022,44.47807,-106.2279,"1009",100,0.783315146,95.35053253,49,0.828089489693268,"Wet",1,"Wet",1,8,0.24973248,35,0.35,NA,NA,NA,NA,0.057142857,0.142857143,NA,NA,0.285714286,NA,0.028571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085714286,NA,NA,NA,NA,0.114285714,0.2,NA,NA,NA,NA,NA,0.085714286,NA,NA
"9","60","Donkey Creek",7,8,2022,44.587,-106.529,"1009",100,0.398072726,0.53741449,58.1963,0.841510998081125,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","38","Dugout Creek",7,21,2022,43.47638,-106.4127,"1009",100,0.490848484,3.47630501,65,0.599203089653117,"Dry",0,"WetDry",1,8,0.10449023,387,3.87,NA,NA,NA,NA,NA,NA,NA,0.002583979,0.015503876,0.046511628,NA,NA,NA,NA,NA,NA,NA,NA,0.010335917,NA,NA,NA,0.095607235,NA,NA,NA,NA,NA,NA,NA,0.031007752,NA,NA,NA,NA,NA,NA,0.795865633,0.002583979,NA,NA
