"","site","stream","month","day","year","latitude","longitude","huc4","habitat_sampled_length_m","prosper_ma","MJJA_HIST","BFICat","ICI_v2_1","wet_dry","wet_dry_01","wet_wetdry_dry","mean_depth_m","max_depth_m","mean_width_m","depth_x_width_m2","discharge_m3_s","mean_velocity_m_s","percent_pool","percent_riffle","percent_run","wetted_area_m2","wetted_area_per100m","temp_c","conductivity","specific_cond","percent_do","do_mg_L","turbidity_cm","dom_substrate"
"1","12","Antelope Creek",7,20,2022,43.48132,-105.2058,"1012",100,0.715406069,82.7324295,37.438,0.849332048426787,"Wet",1,"Wet",NA,NA,NA,NA,NA,NA,0,0,100,749.346,749.346,30.2,NA,1322,162.9,NA,95,NA
"2","33","Arch Creek",8,3,2022,44.31392,-104.67812,"1012",100,0.571018187,6.75172997,82,0.855570816481903,"Dry",0,"WetDry",0.08333333,0.8,0.73,0.06083333,NA,NA,92.0769998,0,7.9230002,182.494,182.494,17.3,NA,1379,47.3,4.5,20,NA
"3","75","Bitter Creek",8,8,2022,45.031,-105.882,"1009",100,0.625109087,9.67660141,49.5886,0.827251448868994,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"4","17","Box Creek",7,20,2022,43.101,-105.262,"1012",100,0.613042422,4.98849344,39.9714,0.849017518282876,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"5","74","Boxelder Creek",8,1,2022,45.49322,-104.45287,"1011",100,0.695981826,45.35750198,37,0.407679750309902,"Wet",1,"Wet",0.31533333,0.84,4.1283333,1.30180111,0.000748,0.000666667,0,0,100,400.048,400.048,22.3,NA,6611,98.5,8.34,35.5,NA
"6","15","Caballo Creek",8,4,2022,44.085,-105.28,"1012",100,0.722636362,28.8509388,50,0.844710598084377,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"7","37","Cabin Creek",7,13,2022,44.49802,-104.79692,"1012",100,0.583484847,4.59467268,70,0.792813365461586,"Wet",1,"Wet",NA,NA,NA,NA,0.011151,0.004,NA,NA,NA,NA,NA,23.6,NA,2410,70.4,NA,93,NA
"8","62","Crazy Woman Creek",7,27,2022,44.47807,-106.2279,"1009",100,0.783315146,95.35053253,49,0.828089489693268,"Wet",1,"Wet",NA,NA,NA,NA,0.072128,0.032666667,13.0015183,18.3407548,68.6577269,706.056,706.056,23,NA,1992,84.4,NA,24.5,NA
"9","60","Donkey Creek",7,8,2022,44.587,-106.529,"1009",100,0.398072726,0.53741449,58.1963,0.841510998081125,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"10","38","Dugout Creek",7,21,2022,43.47638,-106.4127,"1009",100,0.490848484,3.47630501,65,0.599203089653117,"Dry",0,"WetDry",NA,NA,NA,NA,NA,NA,91.0980041,0,8.9019959,146.147,146.147,20.5,NA,8924,91.2,NA,13,NA
"11","83","East Fork Little Powder River",8,9,2022,45.35049,-105.25307,"1009",100,0.648915145,11.13413906,39.046,0.751281112252395,"Wet",1,"Wet",0.42333333,0.87,1.3033333,0.55174444,0.05924,0.159285714,0,47.0204255,52.9795745,108.002,108.002,20.5,NA,1598,100.5,9,13.5,NA
"12","45","Horse Ranch Creek",7,21,2022,43.183,-106.339,"1009",100,0.54226666,0.43483683,53,0.895780452914201,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"13","19","Indian Creek",7,18,2022,42.96036,-104.17644,"1012",100,0.627787872,4.15549517,60,0.857723901686579,"Wet",1,"Wet",NA,NA,NA,NA,0.004655,0.038,NA,NA,NA,NA,NA,23.6,NA,501,95.3,NA,17.5,NA
"14","85","Inyan Kara Creek",7,14,2022,44.44522,-104.72514,"1012",100,0.807193939,33.89693451,72.8189,0.707302214377647,"Wet",1,"Wet",NA,NA,NA,NA,0.00189,0.005333333,47.4111012,8.3230625,44.2658363,229.615,229.615,27.3,NA,0.1,117.6,NA,93,NA
"15","63","Lance Creek",7,19,2022,43.1396,-104.61629,"1012",100,0.749006055,21.29265213,48.307,0.853050982168074,"Wet",1,"Wet",NA,NA,NA,NA,0.0038869,0.027333333,13.1448005,15.6497663,71.2054333,99.682,99.682,19.7,NA,2953,94.1,NA,43,NA
"16","76","Little Missouri River",8,3,2022,45.1298,-104.35327,"1011",100,0.698696982,109.71977234,47.7495,0.663144040436527,"Wet",1,"Wet",0.40633333,0.76,11.2333333,4.56447778,0.006993,0.003333333,0,0,100,1257.491,1257.491,20.5,NA,1981,79.9,7.14,16,NA
"17","69","Mitzpah Creek",8,3,2022,46.221,-105.302,"1009",100,0.64931515,51.29396057,19.9963,0.616698174388319,"Dry",0,"WetDry",NA,NA,NA,NA,NA,NA,88.7813875,0,11.2186125,225.01,225.01,34,NA,3247,155.3,10.87,17.5,NA
"18","44","Mule Creek",7,19,2022,43.362,-104.227,"1012",100,0.164612122,5.09503508,63.0861,0.876955959819942,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"19","64","North Fork Crazy Woman Creek",7,1,2022,44.08814,-106.67921,"1009",100,0.747509084,30.8505497,60.9287,0.908955554651127,"Wet",1,"Wet",NA,NA,NA,NA,0.08142,0.074,NA,NA,NA,NA,NA,18.2,NA,1292,77.4,NA,36,NA
"20","72","Otter Creek",7,26,2022,45.40295,-106.1424,"1009",100,0.77903031,30.31582642,53.8854,0.766545417240212,"Wet",1,"Wet",NA,NA,NA,NA,0.009982,0.006666667,0,0,100,604.345,604.345,23.2,NA,4145,90.1,NA,95,NA
"21","78","Ranch Creek",7,25,2022,45.057,-105.23856,"1009",100,0.524030303,3.39101958,50,0.852585925249755,"Wet",1,"Wet",NA,NA,NA,NA,0.0046657,0.019333333,0,3.8604781,96.1395219,254.813,254.813,20.9,NA,0.1,76.7,NA,25,NA
"22","70","Rosebud Creek",7,11,2022,45.21595,-106.97495,"1010",100,0.764054551,2.99527669,62.8578,0.761753447804852,"Wet",1,"Wet",NA,NA,NA,NA,0.00307,0.020666667,11.8726676,0.5665213,87.5608111,111.205,111.205,16.6,NA,8.6,40.5,NA,95,NA
"23","39","SA Creek",8,8,2022,44.922,-105.903,"1009",100,0.498878789,4.45708323,49,0.834628382697151,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"24","10","Salt Creek",7,28,2022,43.426619,-106.29077,"1009",100,0.714181804,32.23791885,61.8658,0.802492969566347,"Wet",1,"Wet",NA,NA,NA,NA,0.0371142,0.014615385,NA,NA,NA,NA,NA,24.1,NA,4594,130,10.77,95,NA
"25","73","Sarpy Creek",7,11,2022,45.91778,-107.12907,"1010",100,0.724345455,13.81058216,53,0.809285939280296,"Wet",1,"Wet",NA,NA,NA,NA,0.000955,0.006,10.8026437,0.5320725,88.6652837,222.714,222.714,25.9,NA,6982,208.5,NA,95,NA
"26","26","South Fork Powder River",7,28,2022,43.32822,-106.68095,"1009",100,0.618060602,31.70162582,63,0.785424829539571,"Wet",1,"Wet",0.07466667,0.19,2.715,0.20272,0.03179,0.260666667,1.7525026,27.1629978,71.0844996,252.439,252.439,24.9,NA,3561,100,8.18,90,NA
"27","65","Spotted Horse Creek",8,8,2022,44.749,-105.894,"1009",100,0.574660608,3.8933568,50,0.820209635731139,"Dry",0,"Dry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"28","77","Tie Creek",8,2,2022,45.53348,-104.13185,"1011",100,0.605387883,3.50111103,38,0.680591544187292,"Dry",0,"WetDry",NA,0.15,NA,NA,NA,NA,100,0,0,67.034,67.034,22.9,NA,1860,-0.4,-0.003,5,NA
